,885009.WI,H11001.CSI,000300.SH,399005.SZ,HSI.HI
2006/1/4,1042.6975,111.67,941.428,1406.9615,15820.22245
2006/1/5,1042.762,111.82,959.134,1418.3465,15889.61077
2006/1/6,1042.8145,111.61,970.032,1425.3389,15964.35538
2006/1/9,1042.9203,111.96,975.253,1462.6448,16175.54617
2006/1/10,1042.9593,112.1,978.154,1454.942,16206.71932
2006/1/11,1043.0893,112.29,973.477,1426.6316,16294.13117
2006/1/12,1043.1535,112.43,983.716,1464.2935,16362.29223
2006/1/13,1043.2089,112.53,978.809,1467.6126,16436.85557
2006/1/16,1043.3228,112.55,961.439,1472.5865,16419.8732
2006/1/17,1043.3618,112.72,964.29,1477.701,16207.0361
2006/1/18,1043.483,112.82,983.622,1497.3395,16112.84337
2006/1/19,1043.5475,112.86,991.222,1491.066,16306.63905
2006/1/20,1043.6015,112.86,993.34,1473.3072,16286.99699
2006/1/23,1043.7144,112.72,996.162,1457.311,16081.81432
2006/1/24,1043.7568,112.76,999.093,1459.196,16147.13363
2006/1/25,1043.8432,112.8,1009.597,1430.016,16133.44541
2006/2/6,1044.4256,112.92,1033.234,1482.33,16146.66031
2006/2/7,1044.4671,112.94,1029.937,1463.917,16112.86318
2006/2/8,1044.5095,112.89,1033.072,1469.492,15957.63072
2006/2/9,1044.5499,113.04,1019.599,1465.883,15996.05765
2006/2/10,1044.5872,113.11,1032.337,1485.812,16001.33794
2006/2/13,1044.8121,113.13,1031.614,1508.131,15880.16854
2006/2/14,1044.8548,113.19,1038.531,1527.945,15990.87184
2006/2/15,1044.8983,113.22,1041.66,1516.946,15992.37829
2006/2/16,1044.9386,113.19,1020.121,1465.295,16024.10765
2006/2/17,1044.9777,113.19,1020.368,1440.049,16051.38567
2006/2/20,1045.1943,113.18,1021.639,1396.417,16177.38066
2006/2/21,1045.2372,113.11,1038.816,1434.706,16205.44788
2006/2/22,1045.2827,113.02,1037.885,1425.006,16215.80521
2006/2/23,1045.3203,113.07,1041.373,1413.085,16399.17486
2006/2/24,1045.3598,113.07,1049.444,1442.342,16437.96703
2006/2/27,1045.577,113.17,1047.845,1423.148,16532.06099
2006/2/28,1045.6204,113.11,1053.01,1438.803,16499.50452
2006/3/1,1045.6644,113.18,1056.619,1472.622,16392.28667
2006/3/2,1045.7027,113.29,1038.666,1432.496,16458.98294
2006/3/3,1045.7399,113.26,1041.677,1439.119,16372.4522
2006/3/6,1045.9565,113.29,1038.873,1436.697,16381.05588
2006/3/7,1046.0012,113.29,1014.973,1391.456,16171.84614
2006/3/8,1046.0458,113.35,1009.271,1399.762,16064.78502
2006/3/9,1046.0841,113.44,1004.344,1394.225,16082.4538
2006/3/10,1046.1222,113.49,1008.897,1397.123,16016.51685
2006/3/13,1046.3356,113.51,1019.864,1404.179,16118.6808
2006/3/14,1046.3808,113.52,1018.272,1406.652,16095.5431
2006/3/15,1046.423,113.5,1028.958,1429.414,16287.865
2006/3/16,1046.4623,113.5,1027.616,1431.952,16287.42092
2006/3/17,1046.5014,113.52,1024.015,1424.81,16353.13793
2006/3/20,1046.7105,113.58,1037.659,1438.361,16477.94028
2006/3/21,1046.7562,113.51,1040.757,1443.411,16473.67715
2006/3/22,1046.7996,113.39,1047.666,1464.011,16188.74407
2006/3/23,1046.8391,113.36,1048.537,1488.75,16320.00672
2006/3/24,1046.8771,113.27,1042.601,1473.555,16271.25104
2006/3/27,1047.0893,113.26,1050.707,1491.652,16355.19117
2006/3/28,1047.1337,113.32,1055.982,1504.687,16390.94675
2006/3/29,1047.1771,113.32,1065.294,1510.239,16288.3163
2006/3/30,1047.2181,113.38,1055.634,1490.961,16425.39767
2006/3/31,1047.2601,113.37,1061.088,1506.008,16328.18682
2006/4/3,1047.4721,113.38,1079.322,1549.396,16604.45583
2006/4/4,1047.5168,113.26,1089.371,1578.791,16639.28201
2006/4/5,1047.5598,113.08,1099.97,1608.915,16623.66493
2006/4/6,1047.6012,113.16,1103.237,1597.176,16941.2095
2006/4/7,1047.642,113.22,1103.154,1591.735,17011.88967
2006/4/10,1047.8551,113.27,1117.91,1627.155,17048.13307
2006/4/11,1047.8965,113.23,1123.308,1627.913,17015.55754
2006/4/12,1047.9381,113.18,1117.073,1627.922,16844.93739
2006/4/13,1047.98,113.2,1093.925,1582.754,16993.9659
2006/4/14,1048.0222,113.01,1118.607,1631.315,16978.19363
2006/4/17,1048.2361,112.89,1124.414,1671.564,16976.0578
2006/4/18,1048.28,112.85,1131.281,1653.002,17186.90124
2006/4/19,1048.3237,112.86,1138.241,1667.836,17387.02265
2006/4/20,1048.3652,112.88,1134.381,1654.091,17508.75597
2006/4/21,1048.4054,112.85,1149.158,1681.895,17491.56026
2006/4/24,1048.6167,112.81,1142.698,1642.614,17275.66746
2006/4/25,1048.6654,112.74,1141.93,1620.857,17139.42485
2006/4/26,1048.7076,112.74,1155.726,1678.626,17247.86677
2006/4/27,1048.749,112.85,1155.268,1657.681,17316.96233
2006/4/28,1048.7902,112.94,1172.347,1721.617,17225.61823
2006/5/8,1049.2859,113.01,1218.445,1748.231,17874.9983
2006/5/9,1049.3257,113.06,1251.611,1813.3,17697.69827
2006/5/10,1049.3657,113.13,1265.933,1854.92,17636.90482
2006/5/11,1049.405,113.27,1255.035,1843.419,17702.65477
2006/5/12,1049.444,113.31,1296.257,1930.058,17458.93498
2006/5/15,1049.6664,113.26,1352.155,2033.062,17015.912
