date,code,fundlist
20170203,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20170203,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20170203,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20170203,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20170203,zh031,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170203,zh032,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170203,zh041,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170203,zh042,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170203,zh051,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0/002121.OF-13.0
20170203,zh052,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0/110031.OF-13.0
20170203,zh061,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/002121.OF-13.0
20170203,zh062,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/110031.OF-13.0
20170203,zh071,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170203,zh072,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170203,zh081,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170203,zh082,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170203,zh091,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170203,zh092,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170203,zh101,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170203,zh102,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170502,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20170502,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20170502,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20170502,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20170502,zh031,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170502,zh032,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170502,zh041,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170502,zh042,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170502,zh051,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0/002121.OF-13.0
20170502,zh052,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0/110031.OF-13.0
20170502,zh061,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/002121.OF-13.0
20170502,zh062,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/110031.OF-13.0
20170502,zh071,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170502,zh072,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170502,zh081,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170502,zh082,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170502,zh091,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170502,zh092,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170502,zh101,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170502,zh102,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170801,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20170801,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20170801,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20170801,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20170801,zh031,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170801,zh032,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170801,zh041,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20170801,zh042,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20170801,zh051,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0/002121.OF-13.0
20170801,zh052,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0/110031.OF-13.0
20170801,zh061,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/002121.OF-13.0
20170801,zh062,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/110031.OF-13.0
20170801,zh071,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
