date,code,fundlist
20120201,zh011,A-100.0/B-0.0/C-0.0
20120201,zh021,A-100.0/B-0.0/C-0.0
20120201,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20120201,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20120201,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120201,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20120201,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20120502,zh011,A-0.0/B-87.0/C-13.0
20120502,zh021,A-0.1/B-73.9/C-26.0
20120502,zh031,A-0.0/B-74.0/C-26.0/D-0.0
20120502,zh041,A-0.0/B-74.0/C-26.0/D-0.0
20120502,zh051,A-0.0/B-61.0/C-26.0/D-0.0/E-13.0
20120502,zh061,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh071,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh081,A-0.0/B-48.0/C-39.0/D-0.0/E-13.0
20120502,zh091,B-35.0/C-52.0/D-0.0/E-13.0
20120502,zh101,B-35.0/C-52.0/D-0.0/E-13.0
20120801,zh011,A-100.0/B-0.0/C-0.0
20120801,zh021,A-100.0/B-0.0/C-0.0
20120801,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20120801,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20120801,zh051,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh061,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh071,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh081,A-100.0/B-0.0/C-0.0/D-0.0/E-0.0
20120801,zh091,B-100.0/C-0.0/D-0.0/E-0.0
20120801,zh101,B-100.0/C-0.0/D-0.0/E-0.0
20121101,zh011,A-100.0/B-0.0/C-0.0
20121101,zh021,A-100.0/B-0.0/C-0.0
20121101,zh031,A-100.0/B-0.0/C-0.0/D-0.0
20121101,zh041,A-100.0/B-0.0/C-0.0/D-0.0
20121101,zh051,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh061,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh071,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh081,A-87.0/B-0.0/C-0.0/D-0.0/E-13.0
20121101,zh091,B-87.0/C-0.0/D-0.0/E-13.0
20121101,zh101,B-87.0/C-0.0/D-0.0/E-13.0
20130201,zh011,A-0.0/B-87.0/C-13.0
20130201,zh021,A-0.0/B-74.0/C-26.0
20130201,zh031,A-0.0/B-61.0/C-26.0/D-13.0
20130201,zh041,A-0.0/B-48.0/C-26.0/D-26.0
20130201,zh051,A-0.0/B-35.0/C-26.0/D-26.0/E-13.0
20130201,zh061,A-0.0/B-22.0/C-39.0/D-26.0/E-13.0
20130201,zh071,A-0.0/B-9.0/C-39.0/D-39.0/E-13.0
20130201,zh081,A-0.0/B-0.0/C-39.0/D-48.0/E-13.0
20130201,zh091,B-0.0/C-52.0/D-35.0/E-13.0
20130201,zh101,B-0.0/C-52.0/D-35.0/E-13.0
20130502,zh011,A-0.0/B-87.0/C-13.0
20130502,zh021,A-0.0/B-74.0/C-26.0
20130502,zh031,A-61.0/B-0.0/C-26.0/D-13.0
